title,date,country,description,keywords,categories,source_url,page,source_category
We Buy Vitamin C Ampoule &CosmeticProducts,"2 Jan, 2026",India,"We’re looking forcosmeticproducts such as Vitamin C ampoules, toner mask packs, neck patches, sun creams, and related skincare items.
We are Skandhanshi Retail Private Limited, an unlisted private company incorporated on February 21, 2022, and located in Rangareddi, Telangana, India.
Our company is engaged in the retail and distribution of beauty and personal care products, with a growing foc","Ampoule,Cosmetic","Personal Care,Skin Care Serum",https://importer.ec21.com/buy-lead/We-Buy-Vitamin-C-Ampoule--24455155.html,1,
We Buy Non-FaceCosmeticMasks,"26 Dec, 2025",India,"We’re looking forcosmeticmasks for non-face use, including body masks, patch-type masks, and masks for special application areas, and are currently developing a purchase plan with the intention to buy within the next three months.",Masks,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Non-Face-Cosmetic--24454981.html,1,
We Buy Skincare andCosmeticProducts,"26 Dec, 2025",India,"We’re looking for suppliers of skincare andcosmeticproducts, including serums, face creams, eyeliners, cleansers, ampoules, masks, sunscreens, and toners, for distribution through our online sales channels.","skincare,Cosmetic","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skincare-and-Cosmetic--24454979.html,1,
We Buy SkincareCosmetic,"8 Dec, 2025",Pakistan,"We're looking for SkincareCosmetic.
- Details: Facial Cleanser, Sun Care Cream, Hand Cream
- Quantity: in discussion","Skincare,Cosmetic","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skincare-Cosmetic--24454252.html,1,
We Buy PDRN-based SkincareCosmetics,"8 Dec, 2025",Myanmar,"Star K Myanmar Co., Ltd is currently seeking to purchase PDRN-based skincarecosmetics from Korean suppliers.
Star K Myanmar operates the dermatology clinic “Cherry K” and therefore regularly imports and uses dermatology equipment and medical-grade skincare products from Korea.
We are looking for reliable suppliers capable of providing stable quality and suitable product lines for professiona","PDRN Skincare,PDRN Cosmetics","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-PDRN-based-Skincare--24454251.html,1,
We Buy Ingredients forCosmeticProducts,"2 Dec, 2025",Pakistan,"We would like to purchase ingredients forcosmeticproducts (from Korea)
- Kojic dipalmitate acid
- Hyaluronic acid
- Hydrolyzed vitamin C
- Vitamin E
- Tretinoin
- Vegetable glycerin
- Cosgard
- Tranexamic acid","Cosmetic Ingredients,Cosmetic Raw Materials","Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Ingredients-for-Cosmetic--24454008.html,1,
We BuyCosmetic& Medical Contact Lenses,"11 Nov, 2025",Iraq,"Hello,
I am looking to purchase high-qualitycosmeticand medical contact lenses for retail distribution in Iraq.
Preferably Korean-made lenses or certified brands (KFDA / ISO / CE approved).
Please provide:
- Available models and types (yearly, monthly, colored, prescription)
- MOQ and wholesale price per box or pair
- Shipping options to Iraq (direct or via DHL or FedEx)
- OEM or private label","contact lenses,cosmetic lenses,medical lenses,Korea lenses","Timepieces, Jewelry, Eyewear,Contact Lenses",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic--24453226.html,1,
"We Buy Skin Care,Cosmetics","15 Oct, 2025",Pakistan,"We are currently seeking suppliers for Skin Care andCosmetics products.
[Product Specifications]
- Whitening Serum, Toner, Cleanser, Whitening Cream, PDRN Serum, Booster Serum, Face Cream, 
General Serums, Lotion, and Acne-clearing Creams.
- Usage / Application: Designed for skincare and beauty enhancement.
- Payment Terms: L/C
- Quantity: To be discussed and finalized upon negotiation.","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care--24451973.html,2,
"We Buy Skin Care,Cosmetics","15 Oct, 2025",Pakistan,"We're looking for skin care products. 
- Whitening serum, Whitening Toner, Whitening Cleanser, Whitening cream, PDRN SERUM, Booster Serum, Face Creams, Serums, Lotion, Acne clear creams
- Usage /Application: Used to take care of Skin
- Payment condition: LC
- Quantity: Will be Negotiated","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care--24451971.html,2,
"We Buy Skin Care,Cosmetics","14 Oct, 2025",Pakistan,"We're looking for Skin Care &Cosmetics. 
- Face Creams, Serums, Lotion, Acne clear creams, Whitening injections, Collagen Mask, Hair exosomes, Bio-Collagen Real Deep Mask, glutathione drip, Skin Boosters, Lifting threads, Dermal fillers
- Usage /Application: Used to take care of Skin
- Payment condition: LC
- Quantity: Will be Negotiated","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care--24451931.html,2,
We Buy ColorCosmetics,"14 Oct, 2025",Pakistan,"We're looking for ColorCosmetics
- Tirtir(Concealer and all tirtir products)
- All colorcosmeticmakeup products
- Usage /Application: Used to enhance the face features to look beautiful
- Payment condition: LC
- Quantity: Will be Negotiated",Color Cosmetics,"Personal Care,Makeup Set",https://importer.ec21.com/buy-lead/We-Buy-Color-Cosmetics--24451929.html,2,
We Buy ColorCosmetics,"6 Oct, 2025",China,"We’re looking for Korean colorcosmetics—specifically lip-and-cheek products (tints, balms, or creams). Please share product catalogs and your best price list (to the designated trade office if applicable). 
Target order is around 200 units with a preferred unit price under 200 RMB on an FOB basis; 
final pricing will be confirmed after we review product quality.",makeup,"Personal Care,Makeup Set",https://importer.ec21.com/buy-lead/We-Buy-Color-Cosmetics--24451617.html,2,
We Buy Pore-careCosmetics,"6 Oct, 2025",China,"We’re looking for Korean pore-carecosmetics—specifically pore-refining ampoules. 
Please share product catalogs and your best price list (to the designated trade office if applicable). Target order is around 200 units with a preferred unit price under 200 RMB on an FOB basis; final pricing will be confirmed after we review product quality.","pore-care,skincare,cosmetic","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Pore-care-Cosmetics--24451615.html,2,
We BuyCosmetics,"17 Sep, 2025",China,"We're looking forCosmetics. 
- Product Name:Cosmetics (Sunscreen, Mask Packs)
- Details:Cosmetics (Sunscreen, Mask Packs)
- Terms of Transaction: To be discussed with the supplier
- Desired Order Quantity: To be discussed with the supplier","Cosmetics,Skin Care","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24450845.html,2,
We Buy Korean Anti-Aging SkincareCosmetics,"1 Sep, 2025",Turkey,"Dear Korean Skincare Manufacturers and Suppliers,
We are an establishedcosmetics retailer based in Turkey, specializing in importing and distributing innovative beauty products to meet the growing demand for K-beauty in our market. 
We are actively seeking partnerships with Korean producers of high-quality skincarecosmetics that are not yet present in Turkey or have not sold any products to Tur",Anti-Aging Skincare,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Korean-Anti-Aging--24450065.html,2,
We Buy Korean SkincareCosmetics,"1 Sep, 2025",Turkey,"We're looking for exclusive Korean Anti-Aging SkincareCosmetics for Import to Turkey – Untapped Brands Only.
We need Korean skincare producers with no prior sales in Turkey, focusing on anti-aging products with innovative ingredients like NAD+, spicules, glutathione, retinol, and niacinamide. 
Key requirements include vegan, MFDS-certified formulas, suitable for sensitive skin, and stable for",Skincare,"Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Korean-Skincare-Cosmetics--24450064.html,2,
We Buy ColorCosmetic,"19 Aug, 2025",Philippines,"We're looking for suppliers of ColorCosmetics and Personal Care products.
- Details: Various personal care items
- Quantity: To be determined (TBD)","Color Cosmetic,makeup","Personal Care,Makeup Set",https://importer.ec21.com/buy-lead/We-Buy-Color-Cosmetic--24449908.html,2,
We BuyCosmetics,"19 Aug, 2025",China,"We're looking for suppliers ofCosmetics (Skincare, etc.).
- Details: Skincare and relatedcosmeticproducts
- Quantity: To be determined (TBD)
- Remark: Ongoing and continuous demand","Cosmetics,Skincare","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24449914.html,2,
"We Buy Textile,Cosmetic","29 Jul, 2025",Morocco,"We're looking for suppliers of textile fabric (100% Polyester: Crepe) and brandedcosmetics.
Product 1: Textile Fabric
Material: 100% Polyester (Crepe)
HS Code: 3304
Product 2: BrandedCosmetics
Preferred Brands: APR, Medicube, Anua, Roundlab
Open to additional brand suggestions
Buyer Type:
This is a public inquiry, and we're actively seeking reliable suppliers. If you can meet the specifications","Textile,Cosmetic","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Textile-Cosmetic--24449599.html,2,
We Buy K-cosmeticBrand,"28 Jul, 2025",Estonia,"We're looking for K-cosmeticbrands for their showroom. 
- Main item : Skincare, makeup brands
- Major importing country: EU
- Specifications of the item: TBD
- Payment condition: TBD
- Quantity: TBD","Korean Skincare,Korean Cosmetic","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-K-cosmetic-Brand--24449577.html,2,
We BuyCosmetic,"28 Jul, 2025",Ukraine,"We're a Ukrainian company that importscosmetics from South Korea and Europe.
We're interested in all products of brand Mediheal. 
- Payment condition: with the consent of both parties
- Expected Volume: from 100","Cosmetic,Skincare","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic--24449578.html,2,
"We BuyCosmetic(MASK, Cleaning, Cream, Toner)","17 Jul, 2025",China,"We're looking forcosmeticproducts to expand our import business.
ZHENGZHOU ZIMAODA SUPPLY CHAIN MANAGEMENT CO., LTD is currently seeking suppliers of variouscosmetics.
[Product Details] 
- Product Name:Cosmetics
- Main Items: Mask packs, Cleansing products, Creams, Toners, and related skincare items
- Terms: To be discussed with suppliers
- Order Volume: To be discussed with suppliers
- Main","mask pack,cleanser,face cream,Toner","Personal Care,Face Mask",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-MASK--24449417.html,2,
We BuyCosmeticFillers,"17 Jul, 2025",India,"We're looking forCosmeticFillers. 
- Specification: For Import & Distribution
- HS Code: 33049990
- Usage/Volume : Yet to be discussed",Cosmetic Fillers,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-Fillers--24449427.html,2,
"We Buy Masks, Skin CareCosmeticsEtc.","7 Jul, 2025",Uzbekistan,"We're looking for suppliers of masks and skincarecosmetics, including sun cream, collagen masks, and various skincare products.
The preferred payment method is T/T, and the initial order quantity is 1,000 packs.
We welcome offers from qualified suppliers with reliable quality and export experience.","Masks,Skin Care,Cosmetics","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Masks-Skin--24449199.html,2,
We BuyCosmeticsShower Filters,"7 Jul, 2025",India,"We’re looking for suppliers ofcosmetics shower filters for potential commercial distribution.
* Product Name:Cosmetics – Shower Filter
* Estimated Order Volume: To be decided
We're currently exploring supplier options and welcomes product information.",Shower Filters,"General Industrial Equipment,Filters",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-Shower-Filters--24448348.html,2,
"We Buy Skin CareCosmetics, Mask Pack Etc.","4 Jul, 2025",Uzbekistan,"We're looking for suppliers of skincarecosmetics, including mask packs, sun cream, collagen cream, and related items.
We prefers T/T payment terms, and the initial order quantity is 1,000 packs.
We welcome offers from reliable suppliers with quality products and competitive pricing.","Skin Care,Mask Pack","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care-Cosmetics--24449124.html,2,
We Buy KoreanCosmetics,"19 Jun, 2025",China,"We are currently seeking suppliers ofcosmeticproducts.
- Product Name:Cosmetics
- Terms of Trade: To be discussed
- Estimated Order Volume: To be discussed
Interested suppliers are invited to contact us with product catalogs, pricing, and minimum order requirements.","Cosmetics,Skin Care,Skincare","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Korean-Cosmetics--24448868.html,2,
We BuyCosmeticColor Lenses,"18 Jun, 2025",India,We are interested in importingcosmeticcolor lenses. The specific purpose and quantity will be discussed later.,color lenses,"Timepieces, Jewelry, Eyewear,Contact Lenses",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-Color-Lenses--24448840.html,3,
We BuyCosmeticsand Skincare Products,"23 May, 2025",Jordan,"We’re looking for suppliers ofcosmetics and skincare products to support ongoing import needs.
- Name of Item:Cosmetics and Skincare
- Details: N/A
- Payment Condition: T/T (Telegraphic Transfer)
- Quantity: MOQ (Minimum Order Quantity)","Cosmetics,Skin Care,Skincare","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-and-Skincare--24448349.html,3,
We Buy Korean SkincareCosmetics,"29 Apr, 2025",Tanzania,"NADYA KBEAUTY is seeking to purchase Korean skincare products, including cleansers, toners, serums, creams, and sunscreens, starting from 200 pieces.
- Payment will be made via T.T. 
- We have experience importing from Korea and specializes in skincarecosmetics.","Skincare,Cosmetic","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Korean-Skincare-Cosmetics--24447888.html,3,
We BuyCosmeticFillers,"25 Apr, 2025",China,"We're looking to sourcecosmeticfillers for retail sales in beauty salons. 
We have experience importing Koreancosmetics and handles products from Korea, Japan, and Russia. Trade terms and quantity will be discussed upon consultation.
We also distribute through cross-border e-commerce platforms in China.",Cosmetic Fillers,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-Fillers--24447803.html,3,
We BuyCosmetics,"16 Apr, 2025",China,"3.Highly water absorbent, and fast drying.
Because of the structure of the individual bamboo fibers (long hollow tubes), bamboo textiles are highly absorbent, and have a strong wicking action for fast drying. Bamboo towels absorb as much as three times the water as a similar weight cotton towel, and dry twice as fast.
4.Natural anti-bacterial, 95% killed bacteria and anti-odor.
It is a common fac",,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24447698.html,3,
We BuyCosmetics,"24 Mar, 2025",China,"We mainly distribute and sell food andcosmetics, supplying them through online channels.
And currently, we're looking forCosmetics. 
- Terms and Conditions: To be decided upon negotiation","Cosmetics,Skin care","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24447397.html,3,
"We BuyCosmetics, Makeup Products","24 Mar, 2025",China,"We're looking forCosmetics, makeup products, makeup tools, electronic beauty devices.
- Details:Cosmetics, makeup products, makeup tools, electronic beauty devices
- Terms and Conditions: To be discussed with the supplier
- Desired Quantity: To be discussed with the supplier","Cosmetics,Makeup Products","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-Makeup--24447395.html,3,
"We BuyCosmetics, Skincare Etc","24 Mar, 2025",China,"We handlecosmetics, home electronic products, food, and daily necessities. 
We're looking forCosmetics, makeup products, makeup tools, electronic beauty devices, etc.
- Details:Cosmetics, makeup products, makeup tools, electronic beauty devices, etc.
- Terms and Conditions: To be discussed with the supplier
- Desired Quantity: To be discussed with the supplier","Cosmetics,Skincare","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-Skincare--24447396.html,3,
"We BuyCosmetics, Makeup Products, Makeup Tools Etc","13 Mar, 2025",Hong Kong,"We're looking forCosmetics, makeup products, makeup tools, electronic beauty devices, etc.
- Details:Cosmetics, makeup products, makeup tools, electronic beauty devices, etc.
- Transaction Terms: To be discussed with the supplier
- Desired Purchase Volume: To be discussed with the supplier","Cosmetics,makeup,electronic beauty device","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-Makeup--24447273.html,3,
We Buy Natural Shampoo andCosmetics,"10 Mar, 2025",China,"We're interested in Korean daily products that incorporate medical or scientific technology.
We're particularly interested in natural shampoo products made with natural ingredients.
- Desired Quantity: 4,000 units, price under 80 RMB (FOB price)
- We don't have a specific preference for packaging form but expressed interest in reviewing both natural shampoo products and natural cleansing foams di","Shampoo,Cosmetics","Personal Care,Shampoo",https://importer.ec21.com/buy-lead/We-Buy-Natural-Shampoo-and--24447223.html,3,
"We Buy Herbs Spice,Cosmetics","10 Feb, 2025",India,"We Vijay Industries are a premium manufacturer specializing in Natural Henna Powder and Ayurvedic products.
We are currently seeking reliable suppliers of high-quality herbs and spices for support our export and domestic operations.
Interested suppliers are welcome to contact us with product details and offers.","Herbs,Spice,Cosmetcis","Food & Beverage,Spices & Herbs",https://importer.ec21.com/buy-lead/We-Buy-Herbs-Spice--24446918.html,3,
We Buy BasicCosmetic,"31 Jan, 2025",China,"We're looking for Basiccosmetics (masks, skincare, etc.).
- Detailed description: Planning to supply and distribute the above products to local offline stores or online distribution channels.
- Desired transaction volume: To be negotiated in future contract discussions","cosmetic,skincare,skin care","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Basic-Cosmetic--24446859.html,3,
We Buy Cotton Pads forCosmeticUse,"21 Jan, 2025",South Africa,"Our main item for sale is KoreanCosmetics, Skin care etc and 
We're looking for Cotton Pads forCosmeticUse. 
- Payment condition: TBD
- Quantity : TBD",Cotton Pad,"Personal Care,Cotton Pad",https://importer.ec21.com/buy-lead/We-Buy-Cotton-Pads-for--24446775.html,3,
We BuyCosmeticRaw Material,"29 Nov, 2024",United Arab Emirates,"Medist FZE is one of the main distributors of pharmaceutical finished products and also raw materials in Pharma, Personal Care, Oral Care and Home Care industry in the region.
We welcome inquiries from qualified suppliers ofcosmeticraw materials.",Cosmetic Raw Material,"Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-Raw-Material--24446282.html,3,
We Buy Ginseng Extracts for ManufacturingCosmeticProducts,"27 Nov, 2024",India,"We're looking for Ginseng Extracts for manufacturingcosmeticproducts.
- Usage/Volume : Yet to be discussed.",Ginseng Extracts,"Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Ginseng-Extracts-for--24446265.html,3,
We BuyCosmeticContainer,"25 Nov, 2024",South Africa,"We're looking for Empty Containers forcosmetics with labeling.
- Reference: manufactured with plastic material 
- Quantity/ Usage : Request quantity - 1,000 to 5,000 units. These will be used to refill skin care creams, lotions, face and body wash.",Plastic Container,"Packaging & Paper,Plastic Packaging",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-Container--24446233.html,3,
We Buy Raw Materials for SurfactantsCosmetics,"21 Nov, 2024",India,"We're looking for Raw Materials for SurfactantsCosmetics.
- Specification: Raw Materials for SurfactantsCosmetics
- HS Code: 340211
- Usage/Volume : To be discussed",Surfactants Cosmetic,"Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Raw-Materials-for--24446199.html,3,
We BuyCosmeticand Hygiene Products,"19 Aug, 2024",Italy,"We are a local distributor in Italy and are looking forcosmetic, skin care, and personal hygiene products from Korea.
Quantity: Approximately 10,000 pieces""","Cosmetic,Skin Care,Hygiene","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-and-Hygiene--24439833.html,3,
"We BuyCosmetics, Hair Care, Skin Care","6 Aug, 2024",United States,"I am looking any high end skin care and hair care products. I also would like products like Nutrafol, Revive MD, and potentially other supplements.","makeup,skin care,hair care,cosmetics","Personal Care,Other Makeup",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-Hair--24438485.html,3,
We BuyCosmetic,"5 Aug, 2024",Turkey,"Good afternoon, our company is interested in purchasingcosmetics. please send email 
send us catalogue and price list.","cosmetic,skin care,cream,sun cream","Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic--24438344.html,3,
We Buy FUNCTIONALCOSMETIC,"29 Mar, 2024",Italy,"We're looking for Korean manufacturers of functionalcosmetic. 
- Details: Functionalcosmetics are specialty chemicals, which are applied intocosmeticskincare products to improve their functional properties. These include ingredients such as anti-aging agents, exfoliators, conditioning agents, UV agents, among others
- Payment condition: as requested by supplier
- Expected Volume: not availabl",FUNCTIONAL COSMETIC,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-FUNCTIONAL-COSMETIC--24425962.html,4,
"We Buy Skin Care,Cosmetics","28 Mar, 2024",Poland,"We're looking for INNOVATIVE face and skincosmetics. 
- Payment condition: to be negotiated
- Quantity : (please Include the unit) to be negotiated
* Orbico Polska - we are a leading distributor of over 50 well-known global brands and a provider of logistics services on the Polish market.
Importantly, we are part of the Orbico Group - the largest distributor operating in 20 European countries! O","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care--24425803.html,4,
"We Buy Clothing, Food,Cosmetics, Household Goods","25 Mar, 2024",China,"We're a trading company dealing with various products such as clothing, food,cosmetics, and household goods.
[Desired Purchase Items]
- Item Name: Clothing, Food,Cosmetics, Household Goods
- Detailed Content: Clothing, Food,Cosmetics, Household Goods, Kitchenware, Pet Food, etc.
- Terms of Trade: To be discussed with suppliers.","Clothing,Food,Cosmetics","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Clothing-Food--24425427.html,4,
Buy PopularCosmeticProduct,"12 Mar, 2014",Taiwan,"We are looking for popularcosmeticproducts made in Korea.
Including:
Makeup
Skin Care
Body Care
Makeup Tools
Foundation
Mascara
Whitening 
Wrinkle Remover","Cosmetic,Body Care,Makeup,Skin Care","Personal Care,Makeup Remover",https://importer.ec21.com/buy-lead/Buy-Popular-Cosmetic-Product--23519750.html,4,
"Buy Consume goods,Cosmetics, Car","8 Mar, 2020",Germany,"My company locates in Germany.
I am searching for business partner.
You can supply for me good quality products for long sale.
Thank your for your attention.","Consume goods,Cosmetics,car,Home appliance","Automobiles & Motorcycles,Car Care Products",https://importer.ec21.com/buy-lead/Buy-Consume-goods-Cosmetics--24270652.html,4,
Buy Korean Food &Cosmetic,"27 Jan, 2015",Taiwan,"Korean Food,Cosmetic...,. anything which can stir the Taiwan Market, please let us know by sending your photo with information. thanks.","Korean Food,Korean Cosmetic","Food & Beverage,Tea",https://importer.ec21.com/buy-lead/Buy-Korean-Food--23750991.html,4,
"Buy Coco Nut Oil,Beverages,Agricalture ,Caned Foods,Cosmetic,","17 Jan, 2017",Nigeria,"Dear Sir / Madam,
We are introducing our company as one of the major importers / distributors of Mineral / natural spring bottled waters, coco nut oil, Milk powder, Aloevera products, beverages, canned foods, Instant noodles, Flakes, Oats, Custards ,cosmetices,agriculture procudt, funiture ,etc. 
I have noted the your product coco nut oil specification, price and packing details for our evaluatio","Beverages,Funiture,Agricaulture,Cosmetices","Food & Beverage,Dried Fruit",https://importer.ec21.com/buy-lead/Buy-Coco-Nut-Oil-Beverages--23981735.html,4,
