업종,카테고리,업체명,상품명,사업자등록번호
"생활, 유아용품 ",Gifts & Toys ,맨카인드프로젝트,Huts&Bay,128-34-94209
"생활, 유아용품 ",Home Goods,(주)스포시스,Biomaid,211-86-71870
"생활, 유아용품 ",Home Goods,(주)지오스코퍼레이션,Izac 700,130-81-85371
"생활, 유아용품 ",Home Goods,250design,자연제습기,504-23-17638
"생활, 유아용품 ",Home Goods,(주)도루코리빙,Basic 103A - DOKS128(앙상블128),130-86-17811
"생활, 유아용품 ",Home Goods,동양케미칼(주),Chef's Ware Steamer,135-81-66326
"생활, 유아용품 ",Home Goods,비엘티(주),Lofaho,314-86-47626
"생활, 유아용품 ",Home Goods,유원피에스,펭귄즈 기저귀 정리함 / Penguin Storage Cart (白色),127-37-78925
"생활, 유아용품 ",Home Goods,경성오토비스(주),KAC-5500,214-88-37588
"생활, 유아용품 ",Home Goods,주식회사 피에나,피에나 옥수수식기 5종셋트(분홍),142-81-43277
"생활, 유아용품 ",Home Goods,(주)제이디사운드,Monster GODJ,134-86-76132
"생활, 유아용품 ",Home Goods,(주)홈케어,Baby Rattle & Teether Set,130-86-01212
"생활, 유아용품 ",Home Goods,(주)화이트스톤,Premium Tempered Glass 등 핸드폰 케이스,125-81-54084
"생활, 유아용품 ",Home Goods,웨이브텍(주),Direct Plug-In EMI Filter SEPA,137-81-28124
"생활, 유아용품 ",Home Goods,주식회사 미로,미로 클린팟 프리미엄,131-86-57397
"생활, 유아용품 ",Home Goods,(주)유진로봇,EX300,211-86-42832
"생활, 유아용품 ",Home Goods,(주)퀸아트,Queen-Art Pan,136-81-20037
"생활, 유아용품 ",Home Goods,(주)한국윈텍,ECOLUX,120-81-74917
"생활, 유아용품 ",Home Goods,링크일렉트로닉스,LVM-400SK,105-86-74534
"생활, 유아용품 ",Home Goods,에다스,캐리어,128-86-40376
"생활, 유아용품 ",Home Goods,제이엠그린,Double Save TPU도마,135-28-63310
"생활, 유아용품 ",Home Goods,(주)에이블루,BOXTAP,134-87-09611
"생활, 유아용품 ",Home Goods,에스앤제이이노베이션(주),자코라 엠보스 IH 프라이팬 28cm,206-86-11211
"생활, 유아용품 ",Home Goods,(주)큐레이슈머,와우맘 베이비 세트,264-81-13340
"생활, 유아용품 ",Home Goods,(주)현대와코텍,휴대용 공기청정기,217-81-16899
"생활, 유아용품 ",Home Goods,(주)에어텍,에코알라딘 공기청정기,126-86-66050
"생활, 유아용품 ",Home Goods,(주)엠아이디자인,엠아이 4” 미니선풍기_USB Type,211-86-19419
"생활, 유아용품 ",Home Goods,T-CROSS,스마트텀블러,206-11-84716
"생활, 유아용품 ",Home Goods,내외코리아(주),NWK 800,214-86-84618
"생활, 유아용품 ",Home Goods,(주)대성아트론,널리팝 믹서기,128-81-42665
"생활, 유아용품 ",Home Goods,(주)블루골드,"TexDry, SuperClear",119-86-89472
"생활, 유아용품 ",Home Goods,(주)영포리머텍,퀸스라이프 야채다지기 그린 ,131-86-09110
"생활, 유아용품 ",Home Goods,ATNS,클레어 공기청정기 (가정용),220-86-46491
"생활, 유아용품 ",Home Goods,디케이산업(주),공기 청정기,410-81-35632
"생활, 유아용품 ",Home Goods,한국디비케이(주),Zetta Magic Cleaner,138-81-00134
"생활, 유아용품 ",Home Goods,(주)포커스,탈곡기,123-86-24236
"생활, 유아용품 ",Home Goods,화신실업,WHANY,132-17-92746
"생활, 유아용품 ",Home Goods,(주)엔유씨전자,Slow Juicer,504-81-23523
"생활, 유아용품 ",Home Goods,(주)에이스힌지텍,TABLET PC 스탠드 R1,130-81-70752
"생활, 유아용품 ",Home Goods,(주)금호,Crinable,110-81-99788
"생활, 유아용품 ",Home Goods,듀플랩,DUPLEWRAP 300,120-87-79063
"생활, 유아용품 ",Home Goods,(주) 천우굿프랜즈,CUON toothbrush sterilizer,121-86-14988
"생활, 유아용품 ",Home Goods,(주)스탠디아,프리머엄건조대 화이트,613-81-60856
"생활, 유아용품 ",Home Goods,진한공업(주),3pcs P.E Index Cutting Board Set,122-81-25862
"생활, 유아용품 ",Home Goods,(주)에픽시스템즈,EF-8000L,134-86-29454
"생활, 유아용품 ",Home Goods,(주)골든벨금속,Hera third Western tableware,113-81-37025
"생활, 유아용품 ",Home Goods,(주)키즈원,옥스포드 스푼 & 포크 세트,120-87-31389
"생활, 유아용품 ",Home Goods,(주)코니맥스,Konimax,514-81-46649
"생활, 유아용품 ",Home Goods,(주)테스토닉,AIROIN TSTN-0710,140-81-60703
"생활, 유아용품 ",Home Goods,(주)메타네트웍스,도어락,129-81-37845
"생활, 유아용품 ",Home Goods,(주)젬,LED 패널,120-87-43997
"생활, 유아용품 ",IT,(주)아이엔에이치,Prodetector,119-86-87299
"생활, 유아용품 ",IT,(주)초이스테크놀로지,Xelfie Play,122-81-70111
"생활, 유아용품 ",IT,캐스트프로,"Smart Mirroring Lite, Smart Mirroring BEAM",230-81-04019
"생활, 유아용품 ",IT,스마트기술연구소(주),SmartTech P5,217-81-35993
"생활, 유아용품 ",IT,유니챌주식회사,북캠,117-81-45911
"생활, 유아용품 ",IT,주식회사이노시스,골전도 헤드셋HUA-503A ,122-86-11835
"생활, 유아용품 ",IT,(주)디지엔스,Necon,513-81-61706
"생활, 유아용품 ",IT,(주)사라반도체,휴대폰거치대 빨딱 표준형,215-87-77266
"생활, 유아용품 ",IT,제이엠스마트,SLEEP DOC,120-87-83572
"생활, 유아용품 ",IT,(주)메이즈텍,SAFECOMBO,131-81-65271
"생활, 유아용품 ",IT,주식회사 리움,REUM Swing otg,312-86-43925
"생활, 유아용품 ",IT,일우엠앤디,로드캠,210-81-60394
"생활, 유아용품 ",IT,(주)코디아,KIDMIA,504-86-06155
"생활, 유아용품 ",IT,숨비,구조용 드론,880-88-00044
"생활, 유아용품 ",IT,스마트어플아이언스,올인원 배터리,226-81-49225
"생활, 유아용품 ",IT,(주)코맥스,MODUM IoT Videophone ,129-81-01726
"뷰티, 패션용품",Beauty & Personal Care ,(주)인피노,Cerazor,221-81-45748
"뷰티, 패션용품",Beauty & Personal Care ,(주)이다,앙비 유아용 세제(리필형),134-86-44417
"뷰티, 패션용품",Beauty & Personal Care ,(주)보거스,Wireless charging clipper set,119-81-66310
"뷰티, 패션용품",Beauty & Personal Care ,나드리화장품(주),청주 피토 테라피 크리스탈 클리어 클렌징폼,125-86-27812
"뷰티, 패션용품",Beauty & Personal Care ,영원코스텍,소프트매트 립무스#01,219-04-63437
"뷰티, 패션용품",Beauty & Personal Care ,(주)기린화장품,ASSANTA HAIR COOL ACID SHAMPOO,130-81-57268
"뷰티, 패션용품",Beauty & Personal Care ,(주)유앤아이제주,마유 워터풀 크림,616-86-02262
"뷰티, 패션용품",Beauty & Personal Care ,(주)대한뷰티산업진흥원,JEJUON,108-86-00948
"뷰티, 패션용품",Beauty & Personal Care ,(주)수인코스메틱,로댕 쏘 크림 (기획),110-81-83272
"뷰티, 패션용품",Beauty & Personal Care ,더블유타노시,에스디 헤어케어 원셀프 살롱 스팀 헤어팩,215-87-60052
"뷰티, 패션용품",Beauty & Personal Care ,(주)스킨팩토리,베가믹스 하이드로겔 마스크팩(4ea),220-87-84978
"뷰티, 패션용품",Beauty & Personal Care ,(주)트리플라이프,팬티 라이너 6종 선물세트,122-81-94637
"뷰티, 패션용품",Beauty & Personal Care ,주식회사 삼성인터네셔널,하얀거짓말(White Lie),602-81-66559
"뷰티, 패션용품",Beauty & Personal Care ,뷰티랩,레쥬베라 스네일 펩타이드 크림,107-87-23192
"뷰티, 패션용품",Beauty & Personal Care ,아미코스메틱,BRTC,106-86-76646
"뷰티, 패션용품",Beauty & Personal Care ,비에이이인텔리전스㈜,TMER 면도스팀케어,615-81-96990
"뷰티, 패션용품",Beauty & Personal Care ,(주)에스디생명공학,SNP Animal MASK,211-88-18506
"뷰티, 패션용품",Beauty & Personal Care ,(주)푸로맥스,"REEVAA S, ANYMI IPL-2000",119-81-87289
"뷰티, 패션용품",Beauty & Personal Care ,(주)라라리즈,바디골드실버타투(003) 1PCS,504-81-76879
"뷰티, 패션용품",Beauty & Personal Care ,휴비딕,BC-10 DREAMOLLER,123-81-75370
"뷰티, 패션용품",Beauty & Personal Care ,(주)엠티엠코,화장품,220-87-91275
"뷰티, 패션용품",Beauty & Personal Care ,(주)범양산업,오션 베이비 타올,621-81-40415
"뷰티, 패션용품",Beauty & Personal Care ,에프알테크,Automatic Cleanser Ocle,134-29-97513
"뷰티, 패션용품",Beauty & Personal Care ,(주)오베론코스메틱,SPIDER WEB GOLDEN88 TRANSFORMING MASK,117-81-70588
"뷰티, 패션용품",Beauty & Personal Care ,(주)한국생명과학연구소,MED-LINE,126-86-47655
"뷰티, 패션용품",Beauty & Personal Care ,달곰이주식회사,골드순 달곰이 데일리 물티슈 / goldsoon dalgomi daily wipes,119-86-88172
"뷰티, 패션용품",Beauty & Personal Care ,(주)뷸라,뷸라 UV 젤 네일,137-89-28696
"뷰티, 패션용품",Beauty & Personal Care ,(주)보령머드코리아,엘라사 홍삼 안티링클 수분크림,121-81-95782
"뷰티, 패션용품",Beauty & Personal Care ,(주)아미셀,Midas Skin Power Solution,305-86-15227
"뷰티, 패션용품",Beauty & Personal Care ,(주)에르쯔틴,리-스킨 솔루션 토너/Re-skin Solution Toner),264-81-19330
"뷰티, 패션용품",Beauty & Personal Care ,탈렌트화장품㈜,Sunwoo Cosme Tension Diamond & collagen skin care 4 set,201-86-21470
"뷰티, 패션용품",Beauty & Personal Care ,(주)에네스티,화장품,303-81-48668
"뷰티, 패션용품",Beauty & Personal Care ,(주)에코파이코텍,스피루리나 수면팩,515-81-31907
"뷰티, 패션용품",Beauty & Personal Care ,이넬화장품,IPKN PERFUME POWDER SET,215-81-74461
"뷰티, 패션용품",Beauty & Personal Care ,하이텍생활건강,Dream Ray,134-28-47976
"뷰티, 패션용품",Beauty & Personal Care ,(주)코바스,클리어 페이셜마스크,109-81-61657
"뷰티, 패션용품",Beauty & Personal Care ,(주)엘리샤코이,비비 올인원 클렌저,215-87-16032
"뷰티, 패션용품",Beauty & Personal Care ,(주)고운세상코스메틱,Dr.G Brightening up sun ,209-81-23948
"뷰티, 패션용품",Beauty & Personal Care ,(주)새롬코스메틱,편한염색,127-86-36826
"뷰티, 패션용품",Beauty & Personal Care ,(주)아이씨이,skin water,841-86-00031
"뷰티, 패션용품",Beauty & Personal Care ,(주)하루엘에이치,진동칫솔,130-86-69570
"뷰티, 패션용품",Beauty & Personal Care ,주)세인디앤아이,스킨닥터,211-88-29793
"뷰티, 패션용품",Beauty & Personal Care ,(주) 제이엘벤처스,러비더비 섬유향수 르블랑,261-81-08004
"뷰티, 패션용품",Beauty & Personal Care ,스킨멜,Lashpop,117-05-44714
"뷰티, 패션용품",Beauty & Personal Care ,엔젤아로마스토리,AngelLooka,125-24-64482
"뷰티, 패션용품",Beauty & Personal Care ,디랑(주),OHBEAU SERIES,119-86-52830
"뷰티, 패션용품",Beauty & Personal Care ,드림제지,꿈톨,514-13-87506
"뷰티, 패션용품",Beauty & Personal Care ,(주)뷰티화장품,BeauuGreen,303-81-58467
"뷰티, 패션용품",Beauty & Personal Care ,(주)에이치피앤씨,Thelavicos,120-86-88134
"뷰티, 패션용품",Beauty & Personal Care ,(주)씨앤비코스메틱,미애수 퍼펙트 퓨어씨드 토너,310-81-15772
"뷰티, 패션용품",Beauty & Personal Care ,상황미인(주),상황미인 상황삼 크림,605-81-84347
"뷰티, 패션용품",Beauty & Personal Care ,(주)에코마인,헤솔림 샴푸 / HESOL RIM SHAMPOO,605-81-90117
"뷰티, 패션용품",Beauty & Personal Care ,새범뷰티,PERMING NECK TRAY,209-01-73825
"뷰티, 패션용품",Beauty & Personal Care ,(주)조이코스,흑삼수,114-81-75852
"뷰티, 패션용품",Fashion & Accessories ,(주)쿨파워,남성 속옷,248-86-00208
"뷰티, 패션용품",Fashion & Accessories ,원진실업(주),스카프 L11,513-81-62568
"뷰티, 패션용품",Fashion & Accessories ,주식회사 프라하우스,프라하우스 수유브라-95E,132-86-29953
"뷰티, 패션용품",Fashion & Accessories ,주식회사 엘레멘트,LBB(LAB BY BABY),264-81-26506
"뷰티, 패션용품",Fashion & Accessories ,베가트레이딩(주),Odelette,219-81-25827
"뷰티, 패션용품",Fashion & Accessories ,(주)휘권양행,Hormiga,119-86-21453
"뷰티, 패션용품",Fashion & Accessories ,(주)지티에스글로벌,아쿠아슈즈 v1(DIA)(오렌지200),128-87-01934
"뷰티, 패션용품",Fashion & Accessories ,(주)시선,SUR-1002 C08S,502-81-75501
"뷰티, 패션용품",Fashion & Accessories ,비옹,다이아몬드,504-15-13369
"뷰티, 패션용품",Fashion & Accessories ,(주)씨드아이글로벌,YENO Jewelry,117-81-79992
"뷰티, 패션용품",Fashion & Accessories ,더퍼스트글로벌,Ponopino,124-36-42265
"뷰티, 패션용품",Fashion & Accessories ,스페셜핸즈,나전 고리 귀걸이  ,101-04-35402
"뷰티, 패션용품",Fashion & Accessories ,(주)디얼스컴퍼니,The earth rucksack back,105-87-66410
"뷰티, 패션용품",Fashion & Accessories ,(주)루바니,twoway bunny,409-86-39332
"뷰티, 패션용품",Fashion & Accessories ,(주)제메이스,루미에르 목걸이,101-81-58779
"뷰티, 패션용품",Fashion & Accessories ,(주)펀비즈,베이비앙,119-86-00050
"뷰티, 패션용품",Fashion & Accessories ,(주)아이둘,모자부착 선글라스,123-86-24764
"식품, 건강용품 ",Food & Beverage ,(주)비피도,비피더스밀(BIFIDUS MEAL),119-81-32746
"식품, 건강용품 ",Food & Beverage ,(주)희창유업,요거나라 리얼딸기,621-81-05854
"식품, 건강용품 ",Food & Beverage ,제천한약영농조합법인,가시오가피 술,304-85-08880
"식품, 건강용품 ",Food & Beverage ,고려은단,쏠라C,129-81-05834
"식품, 건강용품 ",Food & Beverage ,칠갑농산,똑살떡국,307-81-12099
"식품, 건강용품 ",Food & Beverage ,(주)씨알푸드,콘프레이크,304-81-19657
"식품, 건강용품 ",Food & Beverage ,(주)티젠,티백,211-86-74052
"식품, 건강용품 ",Food & Beverage ,소정에프디,비타민 C 비타케어,130-45-20180
"식품, 건강용품 ",Food & Beverage ,인산죽염(주),인산죽염,611-81-10914
"식품, 건강용품 ",Food & Beverage ,주식회사 쓰리비네트웍스,THE TIME 똑똑한 스마트바,107-87-14752
"식품, 건강용품 ",Food & Beverage ,주)글로벌오가닉푸드,허니버터 고구마 칩,410-86-83916
"식품, 건강용품 ",Food & Beverage ,에스시디디주식회사,KOKIRI,204-86-26149
"식품, 건강용품 ",Food & Beverage ,한양식품,쌀 떡볶이/밀 떡볶이,110-02-36599
"식품, 건강용품 ",Food & Beverage ,영어조합법인 제주미,제주 옥돔,616-81-63148
"식품, 건강용품 ",Food & Beverage ,천호식품,블루베리 주스,606-86-19446
"식품, 건강용품 ",Health & Medical ,디이더블유주식회사,투웨이보틀 / 휴대용 정수텀블러 블루,107-88-15200
"식품, 건강용품 ",Health & Medical ,(주)코스텍엔지니어링,Dr.Alkastone,113-81-38494
"식품, 건강용품 ",Health & Medical ,(주)바이오폴리텍,콜라겐 비타,312-81-72371
"식품, 건강용품 ",Health & Medical ,(주)바이오뉴트리젠,JBB20,314-81-29787
"식품, 건강용품 ",Health & Medical ,(주)바이오리듬,유산균고체음료 Lactobacillus solid drink,312-86-02870
"식품, 건강용품 ",Health & Medical ,(주)티앤에스모터스,Moya2&EZRANG,119-86-27516
"식품, 건강용품 ",Health & Medical ,선경산업,Baby Bottle Sterilizer,130-01-47341
"식품, 건강용품 ",Health & Medical ,주식회사메디레포,냉온찜질팩,617-86-10334
"식품, 건강용품 ",Health & Medical ,원텍(주),Hair Bang,515-81-15284
"식품, 건강용품 ",Health & Medical ,(주)웰뷰텍,세븐라이너 잠잠,121-81-77203
"식품, 건강용품 ",Health & Medical ,(주)아쿠아픽 ,AQUAPICK,120-86-66974
"식품, 건강용품 ",Health & Medical ,효소원,가족건강세트,114-86-71337
"식품, 건강용품 ",Health & Medical ,(주)쎌바이오텍,DUOLAC probiotics,136-81-13410
"식품, 건강용품 ",Health & Medical ,(주)시원,Dr.PLANT,120-87-50654
"식품, 건강용품 ",Health & Medical ,(주)뉴메탈텍,Notos,134-81-69451
"식품, 건강용품 ",Health & Medical ,알고코리아,"iClear 64P, Smart Hearing Aid",408-81-78604
"식품, 건강용품 ",Health & Medical ,GD,아이언 그립,121-06-82941
"식품, 건강용품 ",Health & Medical ,(주)아루이,"Ellaim, hendy",119-86-46513
"식품, 건강용품 ",Health & Medical ,그린라이프,Foot Massage Slipper,314-02-53244
"식품, 건강용품 ",Health & Medical ,나노소프트(주),Smart Blood Pressure Monitor,314-86-17326
"식품, 건강용품 ",Health & Medical ,(주)트리비스,Eye Massager,503-81-94495
"식품, 건강용품 ",Health & Medical ,(주)성윈,Micro Bubble Generator,303-81-68698
"식품, 건강용품 ",Health & Medical ,(주)하우동천,여성 세척제,264-81-15047
